Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,Miami Dolphins,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
2,St. Louis Rams,24,10,20,349,188,161,2,19,256,182,74,1,-7,-7,0,1,1,3
3,New York Giants,21,32,19.5,361,189.5,171.5,1.5,15,234.5,164,70.5,0.5,7,3.5,1,1,0,3
4,Philadelphia Eagles,23,20,20.33333333,371.6666667,228,143.6666667,2,16.33333333,277.3333333,202.3333333,75,0.333333333,-4,-1.333333333,1,2,1,3
5,Atlanta Falcons,19,25,21.5,383,243.5,139.5,1.75,15.75,288,210,78,0.75,-1,-0.25,2,2,0,7
6,New York Jets,20,34,20.8,360.4,238.6,121.8,1.8,18.4,314,216.4,97.6,1.2,-7,-1.4,2,3,0,7.5
7,Tampa Bay Buccaneers,31,30,19.66666667,337.8333333,230.6666667,107.1666667,1.833333333,19,340.6666667,222.5,118.1666667,1.5,-21,-3.5,2,4,1,-3
8,Bye Week,,,20.71428571,340.2857143,241.2857143,99,1.714285714,19.28571429,360.4285714,232,128.4285714,1.428571429,-20,-2.857142857,3,4,,
9,New England Patriots,10,27,20.71428571,340.2857143,241.2857143,99,1.714285714,19.28571429,360.4285714,232,128.4285714,1.428571429,-20,-2.857142857,3,4,0,13.5
10,New Orleans Saints,47,14,20.125,329,237.75,91.25,1.75,20.25,372.875,240.375,132.5,1.5,-37,-4.625,3,5,1,1
11,Carolina Panthers,16,44,20.44444444,349.1111111,244.7777778,104.3333333,1.555555556,19.77777778,370.3333333,235,135.3333333,1.555555556,-4,-0.444444444,4,5,0,7
12,New York Giants,20,14,19.3,332.8,237.5,95.3,1.9,20.5,370.1,234.1,136,1.4,-32,-3.2,4,6,1,1.5
13,Dallas Cowboys,16,19,19.18181818,339.5454545,243.3636364,96.18181818,1.727272727,20.18181818,366.6363636,240,126.6363636,1.545454545,-26,-2.363636364,5,6,1,-2
14,Chicago Bears,24,21,18.83333333,333.4166667,239.1666667,94.25,1.666666667,19.83333333,362.5833333,238.4166667,124.1666667,1.666666667,-29,-2.416666667,5,7,0,4
15,Buffalo Bills,35,25,19.23076923,336.5384615,241.9230769,94.61538462,1.615384615,19.84615385,363.6923077,242.3846154,121.3076923,1.615384615,-26,-2,6,7,1,2
16,Philadelphia Eagles,38,24,19.5,343.2857143,246.6428571,96.64285714,1.571428571,19.92857143,370,240.2142857,129.7857143,1.5,-16,-1.142857143,7,7,0,3.5
17,Dallas Cowboys,34,23,19.86666667,348.2666667,253.6,94.66666667,1.466666667,20.13333333,371.8666667,247.7333333,124.1333333,1.533333333,-2,-0.133333333,8,7,0,3
